1924/1925,2891
1925/1926,3635
1926/1927,4656
1927/1928,4767
1928/1929,5854
1929/1930,6712
1930/1931,7039
1931/1932,7188
1932/1933,7172
1933/1934,7555
1934/1935,6848
1935/1936,6933
1936/1937,6702
1937/1938,8140
1938/1939,6410
1939/1940,5498
1940/1941,4830
1941/1942,5705
1942/1943,6190
1943/1944,6387
1944/1945,6330
1945/1946,8619
1946/1947,9230
1947/1948,10787
1948/1949,10668
1949/1950,12527
1950/1951,10501
1951/1952,9933
1952/1953,10284
1953/1954,12483
1954/1955,12287
1955/1956,12207
1956/1957,11404
1957/1958,9879
1959,13369
1960,10241
1961,11265
1962,10907
1963,10958
1964,11294
1965,10633
1966,8668
1967,9292
1968,10159
1969,9773
1970,9226
1971,9483
1972,7813
1973,7414
1974,6448
1975,6598
1976,6946
1977,8733
1978,6670
1979,7544
1980,6285
1981,6296
1982,5364
1983,6528
1984,6072
1985,6037
1986,5074
1987,4504
1988,5002
1989,4211
1990,4608
1991,4435
1992,4194
1993,4838
1994,4865
1995,5680
1996,4989
1997,5570
1998,5647
1999,7217
2000,6976
2001,8441
2002,10180
2003,10208
2004,9768
2005,8691
2006,9423
2007,10258
2008,7787
2009,7952
2010,6518
2011,7326
2012,7210
2013,7627
2014,7132
2015,9967
2016,9127
2017,9087
2018,8423
2019,9167
2020,-