Club,Home town,Arena,Surface,Kapacity,Rank 2019,First season in Allsvenskan,Continously qualified to Allsvenskan since
AIK,Stockholm,Friends Arena,Grass,50000,4,1924/1925,2006
BK Häcken,Göteborg,Bravida Arena,Artificial turf,6500,6,1983,2009
Djurgårdens IF,Stockholm,Tele2 Arena,Artificial turf,30000,1,1927/1928,2001
Falkenbergs FF,Falkenberg,Falcon Alkoholfri Arena,Grass,5565,13,2014,2019
Hammarby IF,Stockholm,Tele2 Arena,Artificial turf,30000,3,1924/1925,2015
Helsingborgs IF,Helsingborg,Olympia,Grass,16000,10,1924/1925,2019
IF Elfsborg,Borås,Borås Arena,Artificial turf,16899,8,1926/1927,1997
IFK Göteborg,Göteborg,Gamla Ullevi,Hybrid grass,18600,7,1924/1925,1977
IFK Norrköping,Norrköping,Östgötaporten,Artificial turf,15734,5,1924/1925,2011
IK Sirius,Uppsala,Studenternas IP,Artificial turf,6300,11,1969,2017
Kalmar FF,Kalmar,Guldfågeln Arena,Grass,12150,14,1949/1950,2004
Malmö FF,Malmö,Stadion,Hybrid grass,24000,2,1931/1932,2001
Mjällby AIF,Hällevik,Strandvallen,Grass,7000,1 (S1),1980,2020
Varberg BoIS,Varberg,Varberg Energi Arena,Grass,4500,2 (S1),2020,2020
Örebro SK,Örebro,Behrn Arena,Artificial turf,12300,9,1946/1947,2014
Östersunds FK,Östersund,Jämtkraft Arena,Artificial turf,8466,12,2016,2016